Row,Company,Ask for,Dial,Phone,What this call is,Notes
"21","RestoWorks","","3305741514","(330) 574-1514","Cold call → demo #","2026-08-23 sourced"
"22","National Fire & Water Repair","","3307825392","(330) 782-5392","Cold call → demo #","2026-08-23 sourced"
"23","SMB Restoration Specialists","Jim Mossing (President)","4192691473","(419) 269-1473","Cold call, ask for Jim by name","2026-08-23 sourced"
"24","Service Pros (Fort Wayne)","","2602535820","(260) 253-5820","Cold call → demo #","2026-08-23 sourced"
"25","Water Out","","2603051062","(260) 305-1062","Cold call → demo #","2026-08-23 sourced"
"26","Distinctive Cleaning & Restoration","Alan & Audrey Falls (Owners)","2602504664","(260) 250-4664","Cold call, ask for Alan or Audrey by name","2026-08-23 sourced"
"27","Hasgoe","","8124642402","(812) 464-2402","Cold call → demo #","2026-08-23 sourced"
"28","Environmental Cleaning Solutions","","8126023839","(812) 602-3839","Cold call → demo #","2026-08-23 sourced"
"29","Water Fire Mold Experts LLC","","8124313533","(812) 431-3533","Cold call → demo #","2026-08-23 sourced"
"30","RAM Restoration","","6168181700","(616) 818-1700","Cold call → demo #","2026-08-23 sourced"
"31","Riverside Restoration","","6166750110","(616) 675-0110","Cold call → demo #","2026-08-23 sourced"
"32","Hadaway Cleaning & Restoration","","2693757522","(269) 375-7522","Cold call → demo #","2026-08-23 sourced"
"33","Bailtek Carpet Cleaning & Water Damage","","2694841011","(269) 484-1011","Cold call → demo #","2026-08-23 sourced"
"34","Dri-Life Restoration","","2319354058","(231) 935-4058","Cold call → demo #","2026-08-23 sourced"
"35","Michigan Flood Pros","","2489235663","(248) 923-5663","Cold call → demo #","2026-08-23 sourced"
"36","weDRY Restoration","","2487523222","(248) 752-3222","Cold call → demo #","2026-08-23 sourced"
"37","M&J Restoration","","7344724414","(734) 472-4414","Cold call → demo #","2026-08-23 sourced"
"38","R & S Restores","","2486692600","(248) 669-2600","Cold call → demo #","2026-08-23 sourced"
"39","Prime Restoration","Cole Hartwell (Founder/CEO)","5862771069","(586) 277-1069","Cold call, ask for Cole by name","2026-08-23 sourced"
"40","X-Cel Restoration","","2484143200","(248) 414-3200","Cold call → demo #","2026-08-23 sourced"
"41","Anytime Restoration","","2489651079","(248) 965-1079","Cold call → demo #","2026-08-23 sourced"
"42","Action Extraction Inc.","Charles Bingham (Owner)","5869494448","(586) 949-4448","Cold call, ask for Charles by name","2026-08-23 sourced"
"43","J&L Restoration","","5173223000","(517) 322-3000","Cold call → demo #","2026-08-23 sourced"
"44","Camelot Emergency Water Removal","","7347667856","(734) 766-7856","Cold call → demo # — FLAG: 4 MI branches, may exceed the 15-tech ceiling, confirm size on the call","2026-08-23 sourced"
"45","Apex Restoration & Mitigation","","8103554775","(810) 355-4775","Cold call → demo #","2026-08-23 sourced"
"46","Gohm Insurance Restoration","","9897520606","(989) 752-0606","Cold call → demo #","2026-08-23 sourced"
"47","Exact Recon","","5172623770","(517) 262-3770","Cold call → demo # — outside the named metros, sourced as backup","2026-08-23 sourced"
"48","Doan Restoration of Michigan","","5868428142","(586) 842-8142","Cold call → demo #","2026-08-23 sourced"
"49","The Restoration Doctor","","5865224922","(586) 522-4922","Cold call → demo #","2026-08-23 sourced"
"50","Michigan Fire & Flood Inc","","5862210821","(586) 221-0821","Cold call → demo #","2026-08-23 sourced"
"51","MGM Restoration Inc","","8885144639","(888) 514-4639","Cold call → demo #","2026-08-23 sourced"
"52","1st Class Carpet Cleaning & Restoration","","2484913088","(248) 491-3088","Cold call → demo #","2026-08-23 sourced"
"53","Emergency Response Services, Inc. (ERSI)","","8775623663","(877) 562-3663","Cold call → demo #","2026-08-23 sourced"
"54","Watermark Restoration Solutions, Inc.","","2482786166","(248) 278-6166","Cold call → demo #","2026-08-23 sourced"
"55","United Restoration LLC","","7349913447","(734) 991-3447","Cold call → demo #","2026-08-23 sourced"
"56","Rendall's Certified Cleaning Services","","8102252184","(810) 225-2184","Cold call → demo #","2026-08-23 sourced"
"57","McCardel Restoration, LLC","","5175505315","(517) 550-5315","Cold call → demo #","2026-08-23 sourced"
"58","The Bel Company","","5178990349","(517) 899-0349","Cold call → demo #","2026-08-23 sourced"
"59","John Grace Restoration & Construction","","6164385315","(616) 438-5315","Cold call → demo #","2026-08-23 sourced"
"60","Revive Restoration, Inc.","","6082229222","(608) 222-9222","Cold call → demo #","2026-08-23 sourced"
"61","Damage Control Inc","","4146723409","(414) 672-3409","Cold call → demo #","2026-08-23 sourced"
"62","Monarch Restoration","","5024011805","(502) 401-1805","Cold call → demo #","2026-08-23 sourced"
"63","Emrick Services","","5028761891","(502) 876-1891","Cold call → demo #","2026-08-23 sourced"
"64","Southern Clean Air Restoration","","5022704449","(502) 270-4449","Cold call → demo #","2026-08-23 sourced"
"65","Nashville Damage Restoration Pros","Matthew Delaney & Barry Hargrove (Co-Founders)","6154365759","(615) 436-5759","Cold call → demo #","2026-08-23 sourced"
"66","Allegiance Restoration LLC","","9012450039","(901) 245-0039","Cold call → demo #","2026-08-23 sourced"
"67","Landmark Construction & Emergency Services","","9014520390","(901) 452-0390","Cold call → demo #","2026-08-23 sourced"
"68","Mold Masters","","8653516344","(865) 351-6344","Cold call → demo #","2026-08-23 sourced"
"69","Mold Doctors USA","","8659453000","(865) 945-3000","Cold call → demo #","2026-08-23 sourced"
"70","Ethos Restoration","Jeremy Akers (Founder)","8656933265","(865) 693-3265","Cold call → demo #","2026-08-23 sourced"
"71","Knoxville Restoration Pro","","8652393435","(865) 239-3435","VERIFY FIRST — generic city+service name, the same pattern as the irs-247 network already excluded twice","2026-08-23 sourced"
"72","Spotless","Paul Craig & Tina (Owners)","8594590424","(859) 459-0424","Cold call → demo #","2026-08-23 sourced"
"73","GAMO Restoration","","8592671446","(859) 267-1446","Cold call → demo #","2026-08-23 sourced"
"74","Reliable Restoration of KY, Inc","Philip Cunningham","2707913298","(270) 791-3298","Cold call → demo #","2026-08-23 sourced"
"75","Pure Air Solutions, LLC","Bruce Sullivan (Owner/Operator)","2707747472","(270) 774-7472","Cold call → demo #","2026-08-23 sourced"
"76","Sky Restoration DKI","Brian Elkins (Owner)","2702534354","(270) 253-4354","Cold call → demo #","2026-08-23 sourced"
"77","Metro Restoration Services, Inc","","5026378767","(502) 637-8767","Cold call → demo #","2026-08-23 sourced"
"78","River City Restoration Group","David Emrath (President)","5029664044","(502) 966-4044","Cold call → demo #","2026-08-23 sourced"
"79","Bear Restoration","Emery L. Bear (Owner)","5022006968","(502) 200-6968","Cold call → demo #","2026-08-23 sourced"
"80","DWB Restoration II, Inc","Jeremy Thomas Stewart (Owner)","5022416990","(502) 241-6990","Cold call → demo #","2026-08-23 sourced"
"81","Eclipse Roofing & Restoration","James & Melanie Reynolds (Owners)","5022667510","(502) 266-7510","Cold call → demo #","2026-08-23 sourced"
"82","Zipco Restoration","","8777994726","(877) 799-4726","Cold call → demo #","2026-08-16 sourced"
"83","ATP Restoration LLC","","9132575825","(913) 257-5825","Cold call → demo #","2026-08-16 sourced"
"84","Rapid Dry Kansas City","","8167991234","(816) 799-1234","Cold call → demo #","2026-08-16 sourced"
"85","Pure Air LLC","","8169461410","(816) 946-1410","Cold call → demo #","2026-08-16 sourced"
"86","Dog Gone Mold","","8165476816","(816) 547-6816","Cold call → demo #","2026-08-16 sourced"
"87","Catastrophe Control Restoration Services LLC","","8009370982","(800) 937-0982","Cold call → demo #","2026-08-16 sourced"
"88","Genesis Home Restorations LLC","","9139093582","(913) 909-3582","Cold call → demo #","2026-08-16 sourced"
"89","Roberts Complete Restoration","","8163377926","(816) 337-7926","Cold call → demo #","2026-08-16 sourced"
"90","Trusted Restorer","","9134699464","(913) 469-9464","Cold call → demo #","2026-08-16 sourced"
"91","American Water Damage","","9132270516","(913) 227-0516","Cold call → demo #","2026-08-16 sourced"
"92","Lee Safety & Environmental Services","","4178300393","(417) 830-0393","Cold call → demo #","2026-08-16 sourced"
"93","Dawson Restorations Services LLC","","4178600821","(417) 860-0821","Cold call → demo #","2026-08-16 sourced"
"94","Newman's Restoration LLC","","4174376985","(417) 437-6985","Cold call → demo #","2026-08-16 sourced"
"95","Springfield Quality Services","","4178335926","(417) 833-5926","Cold call → demo #","2026-08-16 sourced"
"96","Joplin Mold Inspection and Remediation","","4178256313","(417) 825-6313","Cold call → demo #","2026-08-16 sourced"
"97","Midwest Mold Specialist LLC","","4174991732","(417) 499-1732","Cold call → demo #","2026-08-16 sourced"
"98","Bio-Clean 911","","8005301541","(800) 530-1541","Cold call → demo #","2026-08-16 sourced"
"99","DryMasters","","3144981070","(314) 498-1070","Cold call → demo #","2026-08-16 sourced"
"100","911 Water Damage Experts LLC","","3149601790","(314) 960-1790","Cold call → demo #","2026-08-16 sourced"
"101","Anchor Restoration of St. Louis","","6365791072","(636) 579-1072","Cold call → demo #","2026-08-16 sourced"
"102","Advanced Environmental Services Inc","","3148652662","(314) 865-2662","Cold call → demo #","2026-08-16 sourced"
"103","LDR Cleaning & Restoration Inc","","8158747066","(815) 874-7066","Cold call → demo #","2026-08-16 sourced"
"104","Specialty Cleaning & Restoration Services Inc","","8155222290","(815) 522-2290","Cold call → demo #","2026-08-16 sourced"
"105","Valor Restoration","","2247013930","(224) 701-3930","Cold call → demo #","2026-08-16 sourced"
"106","Alpha Restoration","","7796002573","(779) 600-2573","Cold call → demo #","2026-08-16 sourced"
"107","HelpPro1","","8444357776","(844) 435-7776","Cold call → demo #","2026-08-16 sourced"
"108","D.R. Meyer Mold","","3093034370","(309) 303-4370","Cold call → demo #","2026-08-16 sourced"
"109","Taylor'd Restorations Inc","","2173726482","(217) 372-6482","Cold call → demo #","2026-08-16 sourced"
"110","Pure Maintenance of Central Illinois-USA Mold Service","","2179035373","(217) 903-5373","Cold call → demo #","2026-08-16 sourced"
"111","AC Environmental Inc","","2177105186","(217) 710-5186","Cold call → demo #","2026-08-16 sourced"
"112","Advance Catastrophe Technologies, Inc.","","3162629992","(316) 262-9992","Cold call → demo #","2026-08-16 sourced"
"113","Kansas Water and Fire Restoration","","3164161897","(316) 416-1897","Cold call → demo #","2026-08-16 sourced"
"114","S&A Restoration (S&A Construction, Inc.)","","3165588422","(316) 558-8422","Cold call → demo #","2026-08-16 sourced"
"115","Givens Restoration","Ed Givens (CEO)","3162651315","(316) 265-1315","Cold call → demo #","2026-08-16 sourced"
"116","Romani Restoration","Adib Michael (President/Owner)","3162527972","(316) 252-7972","Cold call → demo #","2026-08-16 sourced"
"117","Voorhies Cleaning & Restoration","Jeff Voorhies (Owner)","9137103644","(913) 710-3644","Cold call → demo #","2026-08-16 sourced"
"118","Value Clean Industries, Inc.","Jerry Braklow (President)","9133029639","(913) 302-9639","Cold call → demo #","2026-08-16 sourced"
"119","Lamunyon Dry Out & Foundation Repair","","7852281400","(785) 228-1400","Cold call → demo #","2026-08-16 sourced"
"120","BALBOA Restoration & Renovation, LLC","","9136878110","(913) 687-8110","Cold call → demo #","2026-08-16 sourced"
"121","Flood Fighters Restoration","Jennifer Bogie (Owner/Founder)","5632001276","(563) 200-1276","Cold call → demo #","2026-08-16 sourced"
"122","C&M Quality (Painting, Remodeling & Restoration)","Chris (Owner)","7128997790","(712) 899-7790","Cold call → demo #","2026-08-16 sourced"
"123","Total Care Cleaning & Restoration","Tyler Ward (Owner)","3193829815","(319) 382-9815","Cold call → demo #","2026-08-16 sourced"
"124","Des Moines Damage Mitigation Pros","","5155752930","(515) 575-2930","Cold call → demo #","2026-08-16 sourced"
"125","The Restoration Company, LLC","","5154448413","(515) 444-8413","Cold call → demo #","2026-08-16 sourced"
"126","ABS Restoration Services, Inc.","","5013677300","(501) 367-7300","Cold call → demo #","2026-08-16 sourced"
"127","Service Restoration of Arkansas","","5012004968","(501) 200-4968","Cold call → demo #","2026-08-16 sourced"
"128","Crain Bros Inc","","8709356019","(870) 935-6019","Cold call → demo #","2026-08-16 sourced"
"129","Arkansas Mold & Water","","5019406653","(501) 940-6653","Cold call → demo #","2026-08-16 sourced"
"130","Assurance Restoration","","9182958400","(918) 295-8400","Cold call → demo #","2026-08-16 sourced"
"131","Disaster Restoration Services, Inc.","","9185202547","(918) 520-2547","Cold call → demo #","2026-08-16 sourced"
"132","OKC Restorations","","4056956951","(405) 695-6951","Cold call → demo #","2026-08-16 sourced"
"133","4D Restoration","Phil Sheridan (Owner)","4058969088","(405) 896-9088","Cold call → demo #","2026-08-16 sourced"
"134","Statewide Restoration","","4056694484","(405) 669-4484","Cold call → demo #","2026-08-16 sourced"
"135","Statewide Restoration, Inc.","","5019555557","(501) 955-5557","Cold call → demo #","2026-08-16 sourced"
"136","Amazing Grace Restoration","","5012051212","(501) 205-1212","Cold call → demo #","2026-08-16 sourced"
"137","Metro Disaster Specialists","","5017582845","(501) 758-2845","Cold call → demo #","2026-08-16 sourced"
"138","RePhorm Property Restoration","","5017648302","(501) 764-8302","Cold call → demo #","2026-08-16 sourced"
"139","Chenal Restoration","","5015098855","(501) 509-8855","Cold call → demo #","2026-08-16 sourced"
"140","Forerunner Restoration and Remodel","","5012138407","(501) 213-8407","Cold call → demo #","2026-08-16 sourced"
"141","Advanced Restoration & Contracting LLC","","4057068294","(405) 706-8294","Cold call → demo #","2026-08-16 sourced"
"142","First Restoration LLC","Nickolas Sloan (Owner)","4052468559","(405) 246-8559","Cold call → demo #","2026-08-16 sourced"
"143","TriForce Restoration","","4052423121","(405) 242-3121","Cold call → demo #","2026-08-16 sourced"
"144","Flood Rescue","Meaad Muse (Owner)","4056008342","(405) 600-8342","Cold call → demo #","2026-08-16 sourced"
"145","Accent Restoration LLC","","9182868510","(918) 286-8510","Cold call → demo #","2026-08-16 sourced"
"146","All American Restoration","Steve Cummings (Owner)","9186281403","(918) 628-1403","Cold call → demo #","2026-08-16 sourced"
"147","Oklahoma Disaster Restoration","Jay Stokes (Owner)","9186227641","(918) 622-7641","Cold call → demo #","2026-08-16 sourced"
"148","Reset Restoration Services LLC","","9185827373","(918) 582-7373","Cold call → demo #","2026-08-16 sourced"
"149","Northwest Restoration, Inc.","","4797507821","(479) 750-7821","Cold call → demo #","2026-08-16 sourced"
"150","Elam Enterprises, Inc.","","8709354452","(870) 935-4452","Cold call → demo #","2026-08-16 sourced"
"151","Dason Fire & Water Restoration, Inc.","Kevin Hefley (Owner)","9183790390","(918) 379-0390","Cold call → demo #","2026-08-16 sourced"
"152","Total Restoration Contractors, Inc.","","5017670014","(501) 767-0014","Cold call → demo #","2026-08-16 sourced"
"153","NWA Restore It, Inc.","","4796444246","(479) 644-4246","Cold call → demo #","2026-08-16 sourced"
"154","Environmental Solutions Specialists, LLC","","4052839187","(405) 283-9187","Cold call → demo #","2026-08-16 sourced"
"155","Christenson Cleaning & Restoration","Charlie Christenson (Owner)","4028345315","(402) 834-5315","Cold call → demo #","2026-08-16 sourced"
"156","Neb Dri Restoration","","4024131229","(402) 413-1229","Cold call → demo #","2026-08-16 sourced"
"157","Murray Restoration","","4028615841","(402) 861-5841","Cold call → demo #","2026-08-16 sourced"
"158","Lincoln Restoration Services","","4026176184","(402) 617-6184","Cold call → demo #","2026-08-16 sourced"
"159","Platinum Restoration Services","Jeremy Roth (Founder)","2622286166","(262) 228-6166","Cold call → demo #","2026-08-16 sourced"
"160","Restore More","","2627472680","(262) 747-2680","Cold call → demo #","[2026-08-17] called around 1130 monday"
"161","A&J Property Restoration","","8007278990","(800) 727-8990","Cold call → demo #","2026-08-16 sourced"
"162","Emergency Restoration Specialists","","4145719977","(414) 571-9977","Cold call → demo #","2026-08-16 sourced"
"163","Dry Source Property Restoration","","6089755324","(608) 975-5324","Cold call → demo #","2026-08-16 sourced"
"164","Jensen's Carpet Care & Restoration","Joel Jensen (President)","9203934062","(920) 393-4062","Cold call → demo #","2026-08-16 sourced"
"165","Freedom Restoration & Remodeling","","9205042202","(920) 504-2202","Cold call → demo #","2026-08-16 sourced"
"166","TRAC Solutions","","7158344652","(715) 834-4652","Cold call → demo #","2026-08-16 sourced"
"167","Chem Master Restoration","","7152004648","(715) 200-4648","Cold call → demo #","2026-08-16 sourced"
"168","JG Restoration","Joshua J. Greil (Owner)","7156003883","(715) 600-3883","Cold call → demo #","2026-08-16 sourced"
"169","NorthStar Restoration Services","","7153020529","(715) 302-0529","Cold call → demo #","2026-08-16 sourced"
"170","Resolve Restoration LLC","","7159213042","(715) 921-3042","Cold call → demo #","2026-08-16 sourced"
"171","Big Red's Guaranteed Clean","Rex Anderson (Owner)","4025105385","(402) 510-5385","Cold call → demo #","2026-08-16 sourced"
"172","Midwest Restoration","","9204603900","(920) 460-3900","Cold call → demo #","2026-08-16 sourced"
"173","Maxim Cleaning & Restoration","Steve & Laura Ousley (Founders)","4022418643","(402) 241-8643","Cold call → demo #","2026-08-16 sourced"
"174","Flood Doctors","","4147717775","(414) 771-7775","Cold call → demo #","2026-08-16 sourced"
"175","Emergency Disaster Recovery, Inc.","Andy Fallon (Owner)","2623614300","(262) 361-4300","Cold call → demo #","2026-08-16 sourced"
"176","Kelmann Restoration","Tom Kelly (Owner)","4147743799","(414) 774-3799","Cold call → demo #","2026-08-16 sourced"
"177","Cornerstone Restoration Services, Inc.","","4025041310","(402) 504-1310","Cold call → demo #","2026-08-16 sourced"
"178","EvoXtract","Jamie Burns (Co-owner)","4029823688","(402) 982-3688","Cold call → demo #","2026-08-16 sourced"
"179","Wisco Restoration LLC","","2625270491","(262) 527-0491","Cold call → demo #","2026-08-16 sourced"
"180","MW Fire & Water Restoration","","4147886177","(414) 788-6177","Cold call → demo #","2026-08-16 sourced"
"181","Aquire Restoration, Inc.","Jeffrey W. Edmunds (President)","9206882000","(920) 688-2000","Cold call → demo #","2026-08-16 sourced"
"182","A-1 Mold Testing & Remediation Services","Dave Bayne UNVERIFIED","4029642080","(402) 964-2080","Cold call → demo #","2026-08-16 sourced"
"183","RestorU, LLC","Scott A. Radies (Owner)","9207224357","(920) 722-4357","Cold call → demo #","2026-08-16 sourced"
"184","CPR+ Water Damage Restoration & Clean up","","9208829287","(920) 882-9287","Cold call → demo #","2026-08-16 sourced"
"185","Positive Restoration","","6127704536","(612) 770-4536","Cold call → demo #","2026-08-16 sourced"
"186","Done Right Carpet & Restoration","","6123314454","(612) 331-4454","Cold call → demo #","2026-08-16 sourced"
"187","Minneapolis Damage Restoration Pros","","6126883131","(612) 688-3131","Cold call → demo #","2026-08-16 sourced"
"188","Dry Air Restoration","","9522177906","(952) 217-7906","Cold call → demo #","2026-08-16 sourced"
"189","Just Us Construction & Restoration","","6122681141","(612) 268-1141","Cold call → demo #","2026-08-16 sourced"
"190","St. Paul Water Damage Restoration Services","","6513162584","(651) 316-2584","Cold call → demo #","2026-08-16 sourced"
"191","Expert Water Damage Professionals","","5073536810","(507) 353-6810","Cold call → demo #","2026-08-16 sourced"
"192","Service Restoration of Rochester","","5072600615","(507) 260-0615","Cold call → demo #","2026-08-16 sourced"
"193","Dryco Restoration Services","","2186286101","(218) 628-6101","Cold call → demo #","2026-08-16 sourced"
"194","Loyear Disaster Restoration","","8004785801","(800) 478-5801","Cold call → demo #","2026-08-16 sourced"
"195","North Shore Restore","","2185144777","(218) 514-4777","Cold call → demo #","2026-08-16 sourced"
"196","ICC Restoration","","8887394289","(888) 739-4289","Cold call → demo #","2026-08-16 sourced"
"197","Minnesota Cleaning & Restoration","","7632286173","(763) 228-6173","Cold call → demo #","2026-08-16 sourced"
"198","Bedrock Restoration","","6128341501","(612) 834-1501","Cold call → demo #","2026-08-16 sourced"
"199","SIMESOTA Restoration","","6129196555","(612) 919-6555","Cold call → demo #","2026-08-16 sourced"
"200","Numark Restoration","","9522068611","(952) 206-8611","Cold call → demo #","2026-08-16 sourced"
"201","Insight Restoration","","8775694945","(877) 569-4945","Cold call → demo # (main line, no direct St. Cloud number found)","2026-08-16 sourced"
"202","SB Restoration Services","","3202550076","(320) 255-0076","Cold call → demo #","2026-08-16 sourced"
"203","TrustPoint Restoration","","6158808060","(615) 880-8060","Cold call → demo #","2026-08-16 sourced"
"204","Titan Restoration Services","","6159347736","(615) 934-7736","Cold call → demo #","2026-08-16 sourced"
"205","Tennessee Water and Fire","","6154555001","(615) 455-5001","Cold call → demo #","2026-08-16 sourced"
"206","Blue Chip Restoration","","6158325300","(615) 832-5300","Cold call → demo #","2026-08-16 sourced"
"207","Water Damage Pros TN LLC","","6292503594","(629) 250-3594","Cold call → demo #","2026-08-16 sourced"
"208","Mr. Restoration","","6152578063","(615) 257-8063","Cold call → demo #","2026-08-16 sourced"
"209","WFM Restoration LLC","","6157287299","(615) 728-7299","Cold call → demo #","2026-08-16 sourced"
"210","Hometown Restoration Group","","8657715880","(865) 771-5880","Cold call → demo #","2026-08-16 sourced"
"211","Patriot Restoration","","8653465934","(865) 346-5934","Cold call → demo #","2026-08-16 sourced"
"212","GRS Restoration","","4236642176","(423) 664-2176","Cold call → demo #","2026-08-16 sourced"
"213","Flood & Fire Pros","","4234144108","(423) 414-4108","Cold call → demo # (owner Jordan Rose answers calls personally per site)","2026-08-16 sourced"
"214","Knott's Property Restoration","","9315521400","(931) 552-1400","Cold call → demo #","2026-08-16 sourced"
"215","Thomas Restoration","","9315527847","(931) 552-7847","Cold call → demo # (owner Thomas Brennan per site)","2026-08-16 sourced"
"216","Serclean","","7706921878","(770) 692-1878","Cold call → demo #","2026-08-16 sourced"
"217","AccuWorks","","6152922009","(615) 292-2009","Cold call → demo #","2026-08-16 sourced"
"218","Resto Experts","","9015192580","(901) 519-2580","Cold call → demo #","2026-08-16 sourced"
"219","Bluff City Water Damage Pros","","9016123883","(901) 612-3883","Cold call → demo # (founders Michael Weeden & Jonathan Dostie per site)","2026-08-16 sourced"
"220","Homeway Construction & Restoration","","9016641669","(901) 664-1669","Cold call → demo #","2026-08-16 sourced"
"221","414 Restoration, LLC","","9015063381","(901) 506-3381","Cold call → demo #","2026-08-16 sourced"
"222","Water Damage Restoration of Dallas","","9724335309","(972) 433-5309","Cold call → demo #","2026-08-16 sourced"
"223","Dalworth Restoration","Shane Hobbs (Founder)","8172032944","(817) 203-2944","Cold call → demo #","2026-08-16 sourced"
"224","Restored Rite","","8177378673","(817) 737-8673","Cold call → demo #","2026-08-16 sourced"
"225","Regent Restoration","","2147314624","(214) 731-4624","Cold call → demo #","2026-08-16 sourced"
"226","JDR Restoration & Remodeling","Jana & CJ Reed (Owners)","9724412803","(972) 441-2803","Cold call → demo #","2026-08-16 sourced"
"227","Intensa Dry Mold & Water Restoration","","9729927331","(972) 992-7331","Cold call → demo #","2026-08-16 sourced"
"228","Zeus Restoration","","9725876960","(972) 587-6960","Cold call → demo #","2026-08-16 sourced"
"229","Olympic Restoration Systems","","9403040944","(940) 304-0944","Cold call → demo #","2026-08-16 sourced"
"230","Classic Construction & Restoration Inc","","9724370909","(972) 437-0909","Cold call → demo #","2026-08-16 sourced"
"231","Water Damage McKinney","","4695640094","(469) 564-0094","Cold call → demo #","2026-08-16 sourced"
"232","Rapid Response Remediation","Hussam","7139557140","(713) 955-7140","Cold call → demo #; email found on company site","2026-08-16 sourced"
"233","CORE 24/7 Restoration","","2813566333","(281) 356-6333","Cold call → demo #","2026-08-16 sourced"
"234","Hallmark Mitigation & Construction","","8327771525","(832) 777-1525","Cold call → demo #","2026-08-16 sourced"
"235","Fire Reconstruction Inc","","3465527577","(346) 552-7577","Cold call → demo #","2026-08-16 sourced"
"236","Champion Restoration","","2813959000","(281) 395-9000","Cold call → demo #","2026-08-16 sourced"
"237","Texas Total Mold","","2819404299","(281) 940-4299","Cold call → demo #","2026-08-16 sourced"
"238","Lone Star Pro Services","","8329909499","(832) 990-9499","Cold call → demo #","2026-08-16 sourced"
"239","Elite Emergency Solutions","","7139999400","(713) 999-9400","Cold call → demo #","2026-08-16 sourced"
"240","Disaster Services","","7138009031","(713) 800-9031","Cold call → demo #","2026-08-16 sourced"
"241","Total Restoration","Brandon Bowles (Founder)","9363217205","(936) 321-7205","Cold call → demo #","2026-08-16 sourced"
"242","R&L Global Inc","","7136868899","(713) 686-8899","Cold call → demo #","2026-08-16 sourced"
"243","Precision Restoration of Texas LLC","","3462092992","(346) 209-2992","Cold call → demo #","2026-08-16 sourced"
"244","Property Damage Restoration Services","","2815008890","(281) 500-8890","Cold call → demo #","2026-08-16 sourced"
"245","The Steam Team","","5124518326","(512) 451-8326","Cold call → demo #","2026-08-16 sourced"
"246","Texas Certified Restoration","Tracy (Owner)","5128836760","(512) 883-6760","Cold call → demo #","2026-08-16 sourced"
"247","Water Damage Austin Restoration","","5124507133","(512) 450-7133","Cold call → demo #","2026-08-16 sourced"
"248","Affordable Restoration Austin","","7372059105","(737) 205-9105","Cold call → demo #","2026-08-16 sourced"
"249","K&M Steam Cleaning","Ken (Owner)","5128665599","(512) 866-5599","Cold call → demo #; email found on company site","2026-08-16 sourced"
"250","Texas Dry Out & Restoration","","7373655642","(737) 365-5642","Cold call → demo #","2026-08-16 sourced"
"251","Big Guys Restoration","","5126745353","(512) 674-5353","Cold call → demo #; office email found via directory","2026-08-16 sourced"
"252","Texas Restoration Group","","5122158001","(512) 215-8001","Cold call → demo #","2026-08-16 sourced"
"253","All Nation Restoration","Ben (Owner)","5129348180","(512) 934-8180","Cold call → demo #","2026-08-16 sourced"
"254","Cleaning & Restoration Specialist Inc (CRS San Antonio)","Tom & Yolanda (Owners)","2106562112","(210) 656-2112","Cold call → demo #","2026-08-16 sourced"
"255","H2O Solutions","","2814199943","(281) 419-9943","Cold call → demo #","2026-08-16 sourced"
"256","San Antonio Water Damage & Restoration","","2106464379","(210) 646-4379","Cold call → demo #","2026-08-16 sourced"
